GEOID,bias_base,best_model,best_bias,imp_share_pct
37025,3717.60956,Baseline,3717.60956,-13.023258822263212
37041,16498.095925,Baseline,16498.095925,-7.972095907182699
37069,13792.590535,MMU_2ac_nb8_w3_iter3,13731.8767,0.4401916728111024
37073,14590.322145000002,MMU_35ac_nb4_w3_iter3,13188.394265,9.608614985108016
37097,6210.738075000001,Baseline,6210.738075000001,-39.3065990792084
37107,22420.42174,Baseline,22420.42174,-2.82501804535636
37169,2537.109805,MMU_1ac_nb8_w3_iter3,1694.72689,33.202461846147806
37181,5132.34612,MMU_5ac_nb8_w3_iter3,4499.632345,12.327963863045143
37185,5326.0098800000005,MMU_5ac_nb8_w3_iter3,4524.629344999999,15.046546158491184
37187,28108.616835,MMU_35ac_nb4_w3_iter3,27961.613739999997,0.5229823148642394
38011,71222.45975,CSB_field_modal,60621.557285,14.884212792159278
38013,21302.346670000017,Baseline,21302.346670000017,-8.680801479980751
38021,19094.360175000016,MMU_15ac_nb4_w9_iter3,12279.94366000001,35.68811131949856
38057,40182.83739000001,Baseline,40182.83739000001,-0.0066414921726217
38063,34146.649904999984,CSB_field_modal,19870.67006499999,41.807849026822424
38069,61791.705985,CSB_field_modal,42512.950619999974,31.19958424465569
38073,38669.342895,MMU_35ac_nb4_w3_iter3,31383.68269500002,18.840920622269028
38087,16576.020920000014,Baseline,16576.020920000014,-2.853725675679193
39005,9781.941984999994,Baseline,9781.941984999994,-7.723541001966082
39021,29748.219720000016,MMU_35ac_nb4_w3_iter3,23677.28101000001,20.407737898743765
39023,4803.897894999994,Baseline,4803.897894999994,-2.405226391682341
39025,32215.54585,CSB_field_modal,26713.271155,17.079563762847123
39029,18214.732644999996,CSB_field_modal,13923.398724999995,23.559686566017124
39033,30061.550784999992,CSB_field_modal,20639.119424999983,31.343796690294432
39039,9723.649984999987,CSB_field_modal,4203.955564999999,56.76566339301439
39059,6417.008345,CSB_field_modal,5997.99547,6.5297230807949145
39063,51017.01201000002,MMU_35ac_nb4_w3_iter3,41517.231240000016,18.62080979603023
39069,4744.713680000008,MMU_5ac_nb4_w3_iter3,3833.115045000013,19.21293246508382
39073,812.3354000000004,MMU_5ac_nb4_w3_iter3,503.61125,38.00451759211776
39077,9372.593485000012,Baseline,9372.593485000012,-27.415590296456536
39079,2006.449455,MMU_2ac_nb8_w3_iter3,1834.315725,8.579021493466923
39081,6897.056115,Baseline,6897.056115,-7.00037141861067
39091,9455.40512500001,MMU_25ac_nb4_w3_iter3,4030.024319999999,57.37861819009056
39117,3387.1626300000025,Baseline,3387.1626300000025,-63.27480694365114
39147,14742.746165000004,MMU_35ac_nb8_w3_iter3,8309.851140000002,43.63430634295263
40003,48020.99167,MMU_35ac_nb4_w3_iter3,38794.14493500001,19.214194488957748
40047,45901.07986000002,MMU_35ac_nb4_w3_iter3,30907.68124,32.664587991677834
40051,47342.81727000001,MMU_35ac_nb4_w3_iter3,22576.537989999997,52.31264362396489
40057,23407.476485000007,MMU_35ac_nb4_w3_iter3,15540.92054500001,33.60702271789549
40061,2862.8908349999997,MMU_35ac_nb4_w9_iter3,1663.0698100000002,41.90942282296279
40071,82176.791385,CSB_field_modal,68895.36198499998,16.162019928201197
40081,12096.82609,MMU_35ac_nb4_w3_iter3,5880.44105,51.38856253491861
40085,11347.65486,MMU_35ac_nb4_w3_iter3,6188.090860000001,45.468108288940314
40093,71580.05002,MMU_35ac_nb4_w3_iter3,57148.68860000001,20.16115023105985
40097,8619.075835,MMU_25ac_nb4_w3_iter3,6608.40264,23.32817616982946
40105,7176.48948,MMU_35ac_nb8_w3_iter3,5795.01238,19.250040062763397
40107,5731.899835,MMU_35ac_nb4_w9_iter3,3770.375935000001,34.2211824432553
40111,2995.387375,MMU_2ac_nb8_w3_iter3,2830.1478899999997,5.516464627550898
40115,27691.417915000002,MMU_35ac_nb4_w3_iter3,24229.617345,12.501348181686277
40119,13268.883320000004,MMU_35ac_nb4_w9_iter3,3597.4729200000006,72.88789995931626
42025,3803.5967450000007,MMU_15ac_nb8_w9_iter3,2600.599005,31.62789908213577
42039,19191.84271,MMU_15ac_nb8_w9_iter3,6136.212534999997,68.02697569106955
42053,992.917405,MMU_15ac_nb4_w9_iter3,178.062125,82.06677372122407
42069,1855.8146549999997,CSB_field_modal,1851.58915,0.22769003297905008
42079,1690.6873650000011,Baseline,1690.6873650000011,-40.679272184659496
42083,1873.58151,MMU_5ac_nb4_w3_iter3,1347.83973,28.060790373619778
42087,4866.21146,Baseline,4866.21146,-27.44397743455234
42093,9042.87024,MMU_35ac_nb4_w3_iter3,4090.194810000001,54.768843282661095
42107,3804.168329999999,Baseline,3804.168329999999,-26.892429994021896
42121,3365.0519149999996,CSB_field_modal,3165.563055,5.928255047441058
44001,144.573855,MMU_5ac_nb4_w3_iter3,27.559875,80.93716529866344
44003,493.665555,MMU_5ac_nb8_w3_iter3,22.22395000000001,95.49817689832544
45001,1233.58788,Baseline,1233.58788,-4.1104538089333325
45079,16584.81318,CSB_field_modal,15288.695119999998,7.815089901422703
46019,20806.569024999997,Baseline,20806.569024999997,-4.563002453019786
46027,16046.543250000002,CSB_field_modal,11205.671285000011,30.167693375331723
46099,46416.38524,MMU_35ac_nb4_w3_iter3,34717.072115,25.205136213230904
47015,5016.7821699999995,CSB_field_modal,3124.4231149999996,37.72057448131139
47023,6381.223435000001,MMU_35ac_nb4_w3_iter3,1285.8142800000005,79.85003513671825
47077,8170.330449999996,CSB_field_modal,2246.394834999999,72.50545924981529
47083,501.609575,MMU_35ac_nb8_w9_iter3,116.564555,76.76189594267613
47087,1061.520985,MMU_35ac_nb8_w3_iter3,923.41369,13.0103216942056
47101,314.337495,MMU_5ac_nb8_w3_iter3,266.744965,15.140583212957145
47103,13341.618305000002,CSB_field_modal,7676.772864999998,42.45995733423886
47115,4405.848195,CSB_field_modal,3627.204424999999,17.67295956505374
47131,26163.982334999993,CSB_field_modal,25364.472309999997,3.0557658033979016
47137,1008.35155,Baseline,1008.35155,-0.08822121610266513
47139,1211.991195,CSB_field_modal,826.5806599999996,31.799780113089053
47171,59.581645,MMU_15ac_nb4_w3_iter3,27.556765,53.74957337951982
47175,712.287645,MMU_15ac_nb8_w3_iter3,322.46972999999997,54.72759744414773
48013,20887.74373,MMU_35ac_nb4_w3_iter3,8777.098709999998,57.979670645834766
48019,1237.97811,MMU_25ac_nb4_w9_iter3,258.10573999999997,79.15102553792329
48047,6030.078615,MMU_35ac_nb4_w9_iter3,1408.265725,76.64598067599157
48061,77270.758905,MMU_35ac_nb4_w3_iter3,45245.88581500002,41.445009139062215
48073,2295.0109,Baseline,2295.0109,-0.06783257543570018
48081,16493.78742,MMU_35ac_nb4_w3_iter3,6170.211520000001,62.59069331451346
48087,54581.5917,MMU_35ac_nb4_w3_iter3,43285.70486,20.69541486090448
48095,41170.19449,MMU_35ac_nb4_w3_iter3,28261.276715000004,31.355007997680207
48101,58199.343315,MMU_35ac_nb4_w3_iter3,45270.40999,22.2149127268035
48111,105508.200455,MMU_35ac_nb4_w3_iter3,91835.13346000004,12.959245761026548
48117,232494.367875,MMU_25ac_nb4_w3_iter3,221344.372155,4.79581325857957
48121,30897.84461,MMU_35ac_nb4_w3_iter3,15049.97691,51.29117548500739
48169,33575.147165,MMU_35ac_nb4_w3_iter3,27476.40908,18.16444185643825
48179,33770.149784999994,MMU_35ac_nb4_w3_iter3,21594.24593000001,36.055226087295225
48207,184506.44455,MMU_35ac_nb4_w3_iter3,169379.80383500003,8.198434884967265
48211,12016.05572,MMU_35ac_nb4_w3_iter3,7641.768465000001,36.40368650853758
48217,33999.15138500001,MMU_35ac_nb4_w3_iter3,17157.622825,49.535143890180386
48231,28581.348585,MMU_35ac_nb4_w3_iter3,11746.936665000005,58.89999161493379
48247,104.748045,MMU_15ac_nb4_w3_iter3,5.7822700000000005,94.47983014861995
48325,14954.55727500001,MMU_15ac_nb4_w3_iter3,4059.068225,72.85731599834341
48329,16354.769850000002,MMU_35ac_nb4_w3_iter3,13294.69623,18.71058809182815
48353,30932.048460000005,MMU_35ac_nb4_w3_iter3,21589.23451000001,30.204316930647916
48357,72383.05376000001,MMU_35ac_nb4_w3_iter3,60652.60709000002,16.206067664531748
48359,54949.18239,MMU_35ac_nb4_w3_iter3,46779.27967,14.868106065736129
48363,17044.755815,MMU_35ac_nb4_w3_iter3,9413.048995,44.774515415960515
50001,13175.117094999998,MMU_1ac_nb8_w3_iter3,12350.740204999998,6.257074484088296
50013,1542.4007850000005,MMU_25ac_nb4_w9_iter3,481.1318450000002,68.80630185882588
51169,1766.377985,CSB_field_modal,1740.580165,1.4604926136463303
54029,74.34058999999999,MMU_1ac_nb8_w3_iter1,58.77294,20.94098257762011
54035,340.7061049999999,Baseline,340.7061049999999,-2.61277971523289
55027,15508.043170000004,MMU_2ac_nb8_w3_iter3,13917.908355000003,10.25361354471907
55031,4082.811875,CSB_field_modal,4036.998505,1.1221033788141432
55035,7547.396505000004,MMU_2ac_nb8_w3_iter3,4770.570179999999,36.79184369286033
55055,25317.430484999997,MMU_5ac_nb4_w3_iter3,14681.247665000008,42.011304529113595
55059,14245.419840000004,MMU_15ac_nb4_w3_iter3,9070.573280000004,36.32638853836686
55063,18875.549679999996,CSB_field_modal,13404.855074999998,28.98296843135962
55065,37448.210125,CSB_field_modal,21203.812140000002,43.378302810139985
55078,502.6127,MMU_35ac_nb4_w9_iter3,118.536535,76.41592920353983
55083,27221.42955,MMU_25ac_nb4_w9_iter3,4198.482189999997,84.57655509131777
55087,37273.082965,MMU_35ac_nb8_w9_iter3,24730.65526,33.65009467228008
55091,6447.494634999999,CSB_field_modal,6403.538355000006,0.6817575273560978
55093,7086.185979999995,Baseline,7086.185979999995,-64.62341600862149
55103,15779.224119999995,CSB_field_modal,11419.170145,27.63161193378118
55105,22807.148535,MMU_5ac_nb4_w3_iter3,20067.17549000001,12.013658966596411
55113,2124.5387649999993,MMU_1ac_nb8_w3_iter1,2076.946235,2.240134695777096
55125,783.6842750000001,MMU_25ac_nb4_w9_iter3,653.13841,16.65796662820624
55127,41080.91789500001,MMU_35ac_nb4_w3_iter3,31861.00352,22.443301774720503
55135,37111.199785,MMU_25ac_nb4_w3_iter3,7705.95968,79.23548760308559
55137,32618.48126000001,MMU_35ac_nb4_w3_iter3,12235.880530000002,62.48789012440981
55141,32036.97759,MMU_25ac_nb8_w3_iter3,12011.186059999996,62.508367007288605
56005,13910.577415,MMU_5ac_nb8_w9_iter3,2138.320485,84.62809687041305
56007,1836.9827,MMU_35ac_nb4_w3_iter3,567.329645,69.11622276029055
56009,2752.2567599999984,Baseline,2752.2567599999984,-8.356836591074536
56019,2571.1558799999993,Baseline,2571.1558799999993,-33.42924136517147
01017,1137.4836650000002,MMU_25ac_nb4_w3_iter3,994.706075,12.552056297001856
05031,23619.01734,CSB_field_modal,18745.00852000001,20.63595089430588
05033,10172.32509,CSB_field_modal,9422.186755,7.374305563016563
05077,36830.545655000016,MMU_5ac_nb4_w3_iter3,34063.284669999994,7.51349439924561
05087,471.094855,MMU_25ac_nb4_w3_iter3,392.811815,16.617256412193253
12109,1158.930029999999,CSB_field_modal,498.0903300000001,57.02153563144788
13011,116.25352499999995,CSB_field_modal,92.90205000000002,20.086681242568737
13061,5058.902045000002,MMU_35ac_nb4_w9_iter3,4245.525575,16.078122540520585
13071,12957.422945000008,MMU_1ac_nb8_w3_iter3,10638.751084999996,17.89454484770629
13197,3343.9171950000004,MMU_5ac_nb4_w3_iter3,2625.35895,21.488517899738255
13201,20968.390025000008,MMU_35ac_nb4_w9_iter3,14414.9109,31.254088259453784
13253,10507.263829999998,CSB_field_modal,8488.102555000001,19.21681331761132
13257,615.36393,CSB_field_modal,611.36082,0.65052724166007
16017,2035.217775,Baseline,2035.217775,-2.5132863238677294
16045,5395.765440000001,MMU_15ac_nb8_w3_iter3,716.9835299999977,86.71210715193733
16053,20672.40398,MMU_35ac_nb4_w3_iter3,12640.830950000003,38.85166445939393
16081,16707.331625000006,MMU_35ac_nb4_w3_iter3,6534.317140000003,60.889522715749656
17049,48566.16125499999,CSB_field_modal,38048.87930999999,21.655575967345428
17067,16202.195380000025,MMU_15ac_nb4_w3_iter3,5968.0222700000195,63.16534809000674
17087,1642.5759249999992,Baseline,1642.5759249999992,-7.913845748104627
17115,34184.02461499999,CSB_field_modal,26189.36915499999,23.387110061031073
17121,20852.276649999993,CSB_field_modal,10049.217130000001,51.80757814279237
18077,6216.627970000001,MMU_2ac_nb8_w3_iter3,4762.6094600000015,23.3891832841977
18119,7889.600035,CSB_field_modal,4485.399769999996,43.1479447614356
18135,16743.102990000014,MMU_35ac_nb4_w3_iter3,11968.282340000018,28.51813461848622
19047,39293.299664999984,CSB_field_modal,23034.299979999993,41.37855518273639
19077,12109.915559999998,CSB_field_modal,5184.426140000018,57.18858554947662
19121,25140.36836500001,MMU_35ac_nb4_w3_iter3,14442.50168,42.552545490516344
19169,13006.215854999991,Baseline,13006.215854999991,-3.96528868004102
19191,65198.84533,CSB_field_modal,36922.65544999999,43.369157439647566
20027,30861.02913000001,CSB_field_modal,28274.868639999993,8.380020248534123
20035,65203.90581000001,Baseline,65203.90581000001,-2.1886859341808416
20061,4301.385045000001,CSB_field_modal,3445.7391650000013,19.892334005173893
20083,1274.3979249999938,Baseline,1274.3979249999938,-89.43630185210885
20107,42247.36648,CSB_field_modal,30717.964889999996,27.290225523188653
20113,65655.11996499999,MMU_25ac_nb8_w9_iter3,52402.785649999976,20.184769020397333
20127,18953.305424999995,CSB_field_modal,14557.934305000002,23.19052545949248
20143,33544.41874,CSB_field_modal,28009.896769999992,16.4990844315939
20167,5101.809050000005,MMU_1ac_nb8_w3_iter1,4416.610055000012,13.430510399051355
20179,36700.253049999985,MMU_35ac_nb4_w3_iter3,33407.47267999999,8.972091733302083
21199,16795.542985,CSB_field_modal,14516.21663,13.571019150947688
23005,736.7356199999999,Baseline,736.7356199999999,-6.882531348219609
25007,2138.301475,MMU_35ac_nb4_w3_iter3,632.4649300000001,70.42208793313394
26003,556.538495,Baseline,556.538495,-15.304832597428826
26037,20401.68027500001,MMU_25ac_nb4_w9_iter3,10487.53357,48.5947557817024
26047,1662.2887849999988,Baseline,1662.2887849999988,-21.3124962519675
26065,14776.288335,CSB_field_modal,4577.0312399999875,69.02448614813127
26111,7211.797005000006,MMU_15ac_nb4_w3_iter3,3795.597315000005,47.36960410327022
26125,3663.758030000001,MMU_5ac_nb8_w9_iter3,2686.3471400000003,26.677823207664183
26133,30116.573355000004,MMU_35ac_nb4_w3_iter3,17102.792475000002,43.21135982702837
26161,5949.257295000007,MMU_2ac_nb8_w3_iter3,2740.9626949999947,53.927649131873835
27001,6086.706815,MMU_35ac_nb4_w3_iter3,3407.3753199999996,44.01939466506078
27025,13451.628599999998,MMU_5ac_nb4_w3_iter3,10179.018,24.328731466760814
27055,25400.146285,CSB_field_modal,18001.7147,29.127515652809947
27095,22820.827695,MMU_25ac_nb4_w3_iter3,11337.521249999998,50.31941259306723
27099,47580.163555,CSB_field_modal,32282.945874999983,32.15041003866515
27113,58004.304285000006,MMU_35ac_nb4_w3_iter3,43743.002515,24.586626709507826
27147,14364.550585,MMU_2ac_nb8_w3_iter3,13664.006335000004,4.876896397521351
28003,11407.82752,CSB_field_modal,8726.18861,23.50700784438229
28027,54115.680385000014,MMU_25ac_nb4_w3_iter3,53494.531149999995,1.147817472830284
28041,7045.52586,Baseline,7045.52586,-0.4766378786664475
28047,424.10731,MMU_15ac_nb8_w9_iter3,250.416815,40.95437425966555
28057,3362.449579999999,Baseline,3362.449579999999,-1.3233700295366808
28063,11421.405125,CSB_field_modal,11011.53114,3.5886476358573174
28073,675.3187899999999,CSB_field_modal,651.9673150000001,3.4578447017592837
